"MaximumInscribedSphereRadius","EdgeArray:0","EdgeArray:1","EdgePCoordArray","Points:0","Points:1","Points:2"
7.6743,34041,34041,0,76.28,54.773,106.31
7.6769,33994,38045,0.376,76.266,54.768,106.26
7.6754,22220,37981,0.428,76.167,54.663,105.86
7.6785,19941,37981,0.68,76.069,54.579,105.52
7.7058,19941,37832,0.716,75.9,54.446,104.97
7.7137,37986,37984,0.588,75.845,54.386,104.76
7.7267,37987,37987,0,75.698,54.21,104.43
7.7305,37971,37972,0.016,75.669,54.173,104.31
7.7337,37969,35584,0.588,75.322,53.917,103.31
7.7343,37991,33744,0.632,75.29,53.898,103.23
7.7485,37993,33744,0.188,75.074,53.719,102.6
7.7487,37952,37993,0.944,75.033,53.68,102.5
7.7711,37994,37950,0.74,74.865,53.561,102
7.7796,17008,37950,0.632,74.819,53.532,101.86
7.7928,17008,17011,0.452,74.762,53.491,101.69
7.8052,17011,37935,0.656,74.682,53.409,101.39
7.8078,37935,16333,0.428,74.659,53.383,101.3
7.8891,26499,37927,0.152,74.311,53.113,100.11
7.8915,26499,33752,0.152,74.297,53.098,100.06
7.9565,37905,37883,0.724,74.088,52.953,99.26
7.9795,37906,37885,0.692,74.034,52.891,99.012
8.0151,25582,37886,0.808,73.94,52.805,98.638
8.0415,37817,33472,0.636,73.891,52.75,98.408
8.0724,37816,37816,0,73.78,52.644,98.031
8.1236,33730,33178,0.936,73.682,52.533,97.668
8.185,5492,33725,0.484,73.55,52.415,97.268
8.1999,5492,33716,0.752,73.519,52.384,97.177
8.2151,33716,37806,0.124,73.491,52.358,97.096
8.3119,37806,37806,0,73.305,52.192,96.616
8.3211,37805,37804,0.064,73.291,52.174,96.566
8.3759,37804,37804,0,73.199,52.065,96.288
8.3764,37803,33715,0.016,73.198,52.064,96.285
8.3914,37765,33715,0.996,73.167,52.035,96.194
8.5363,37765,37765,0,72.902,51.793,95.521
8.5679,37766,37766,0,72.861,51.744,95.381
8.62,37565,37565,0,72.792,51.666,95.174
8.7387,37721,37721,0,72.681,51.501,94.705
8.8047,19934,19934,0,72.612,51.423,94.438
8.9806,37652,37652,0,72.399,51.196,93.822
8.9809,37748,37652,0.992,72.399,51.196,93.821
9.0214,37748,37748,0,72.362,51.147,93.688
9.0215,37770,37748,0.996,72.362,51.147,93.687
9.0589,37770,37770,0,72.323,51.104,93.555
9.0679,37751,37751,0,72.315,51.093,93.519
9.1303,37752,37752,0,72.256,51.013,93.283
9.2669,37727,37727,0,72.161,50.851,92.792
9.3425,37696,37696,0,72.102,50.776,92.512
9.4755,37694,37694,0,71.966,50.621,92.056
9.8507,37697,37697,0,71.747,50.239,90.934
9.8979,37659,37659,0,71.73,50.195,90.807
9.9568,37664,37664,0,71.705,50.137,90.65
10.046,37667,37667,0,71.659,50.061,90.386
10.046,37662,37667,0.992,71.659,50.061,90.385
10.086,37662,37662,0,71.637,50.03,90.266
