x,y,z
7.915458679199218750e+01,6.101828765869140625e+01,1.413943786621093750e+02
7.892745208740234375e+01,6.116354751586914062e+01,1.408096923828125000e+02
7.886226654052734375e+01,6.119680023193359375e+01,1.406718139648437500e+02
7.846753692626953125e+01,6.128645324707031250e+01,1.394488220214843750e+02
7.839017486572265625e+01,6.134183120727539062e+01,1.391311798095703125e+02
7.828642272949218750e+01,6.139549636840820312e+01,1.387056884765625000e+02
7.824585723876953125e+01,6.141818618774414062e+01,1.384789581298828125e+02
7.818586730957031250e+01,6.142965316772460938e+01,1.381387786865234375e+02
7.807746887207031250e+01,6.139141464233398438e+01,1.372771148681640625e+02
7.800767517089843750e+01,6.137173080444335938e+01,1.369073028564453125e+02
7.794120788574218750e+01,6.136001205444335938e+01,1.363728790283203125e+02
7.793832397460937500e+01,6.135865783691406250e+01,1.363212432861328125e+02
7.784423828125000000e+01,6.132731628417968750e+01,1.357201232910156250e+02
7.778283691406250000e+01,6.126843261718750000e+01,1.350362396240234375e+02
7.775615692138671875e+01,6.121983337402343750e+01,1.346780700683593750e+02
7.770223236083984375e+01,6.117029571533203125e+01,1.342129821777343750e+02
7.765465545654296875e+01,6.112706756591796875e+01,1.338143920898437500e+02
7.763903808593750000e+01,6.110907363891601562e+01,1.336851196289062500e+02
7.761128234863281250e+01,6.104395294189453125e+01,1.331679840087890625e+02
7.758115386962890625e+01,6.101077651977539062e+01,1.329568328857421875e+02
7.754964447021484375e+01,6.088562011718750000e+01,1.323331909179687500e+02
7.755457305908203125e+01,6.085950469970703125e+01,1.322196807861328125e+02
7.754387664794921875e+01,6.070754241943359375e+01,1.313526611328125000e+02
7.755001068115234375e+01,6.062471771240234375e+01,1.309364166259765625e+02
7.755017852783203125e+01,6.062237167358398438e+01,1.309272308349609375e+02
7.755397796630859375e+01,6.052415847778320312e+01,1.304937744140625000e+02
7.755396270751953125e+01,6.052395248413085938e+01,1.304927978515625000e+02
7.754946899414062500e+01,6.047309112548828125e+01,1.302495727539062500e+02
7.754898071289062500e+01,6.042899703979492188e+01,1.300669708251953125e+02
7.757323455810546875e+01,6.033816528320312500e+01,1.296632995605468750e+02
